Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Algeria,28.0339,1.6596,2020-06-22,11920,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-21,11771,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-20,11631,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-19,11504,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-18,11385,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-17,11268,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-16,11147,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-15,11031,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-14,10919,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-13,10810,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-12,10698,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-11,10589,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-10,10484,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-09,10382,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-08,10265,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-07,10154,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-06,10050,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-05,9935,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-04,9831,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-03,9733,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-02,9626,DZA,2,15,
,Algeria,28.0339,1.6596,2020-06-01,9513,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-31,9394,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-30,9267,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-29,9134,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-28,8997,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-27,8857,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-26,8697,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-25,8503,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-24,8306,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-23,8113,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-22,7918,DZA,2,15,
,Algeria,28.0339,1.6596,2020-05-21,7728,DZA,2,15,
